No.,Cat,Article,Article Name,MC2,MC5,Cat.,Remark
96,ประตูและหน้าต่าง,10337481,UAT-ประตูไม้เนื้อแข็ง 80x200 มท 215,DZD: ก่อสร้าง-อื่นๆ,DZD150101: ประตูไม้เบญจพรรณ,C16011201,new cat.
101,วัสดุปูพื้นและผนัง,10337488,UAT-เสื่อน้ำมัน 1.40X 4.50ม.เคลือบ น้ำตา,DTA: เฟอร์นิเจอร์,DTA060101: เสื่อน้ำมันบาง,C12080701,new cat.
109,ห้องน้ำและอุปกรณ์,10337511,UAT-ก๊อกซิงค์ ตพ วีก้า V9409F,DXX: อุปกรณ์ภายในห้องน้ำ,DXX050401: ก๊อกอ่างซิงค์เดี่ยว,C05020301,new cat.
110,ห้องน้ำและอุปกรณ์,10337512,UAT-ชุดอ่างล้างหน้า MR7532 แดง+กระจก,DQQ: สุขภัณฑ์,DQQ020202: ชุดอ่างแก้ว,C05030201,new cat.
111,ห้องน้ำและอุปกรณ์,10337513,UAT-ชุดอ่างล้างหน้าขาตั้ง MR M800-A ลายไ,DQQ: สุขภัณฑ์,DQQ020401: ชุดอ่างล้างหน้า,C05030202,new cat.
112,ห้องน้ำและอุปกรณ์,10337514,"UAT-ผ้าขนหนู HARMONY BORDER 30""X60""DECO",DTB: เครื่องนอนและสิ่งทอ,DTB180102: ผ้าขนหนูทอลาย,C05050201,new cat.
113,ห้องน้ำและอุปกรณ์,10337515,"UAT-ผ้าขนหนู HARMONY BORDER 27""X54""DECO",DTB: เครื่องนอนและสิ่งทอ,DTB180102: ผ้าขนหนูทอลาย,C05050201,new cat.
114,ห้องน้ำและอุปกรณ์,10337516,"UAT-ผ้าขนหนู 11""X11""บางคละสี",DTB: เครื่องนอนและสิ่งทอ,DTB180101: ผ้าขนหนูสีพื้น,C05050201,new cat.
115,ห้องน้ำและอุปกรณ์,10337801,UAT-เสื้อคลุมอาบน้ำ Size S สีขาว Decos,DTB: เครื่องนอนและสิ่งทอ,DTB180101: ผ้าขนหนูสีพื้น,C05050101,new cat.
117,ห้องน้ำและอุปกรณ์,10337519,UAT-ชุดฉีดชำระโครเมี่ยม HANG SS02CR,DXX: อุปกรณ์ภายในห้องน้ำ,DXX030304: ชุดฉีดชำระโครเมี่ยม,C05060101,new cat.
118,ห้องน้ำและอุปกรณ์,10337520,UAT-Jชุดฉีดชำระ PVC PIXO ER01 ฟ้า,DXX: อุปกรณ์ภายในห้องน้ำ,DXX030303: ชุดฉีดชำระพลาสติก,C05060101,new cat.
119,ห้องครัวและอุปกรณ์,10337777,UAT-เตาแก๊สตั้งโต๊ะ2หัว TNS IG 271 GB TE,DOA: เครื่องใช้ไฟฟ้าเล็ก,DOA070101: กระทะไฟฟ้า,C07010208,new cat.
121,ห้องครัวและอุปกรณ์,10337521,UAT-เครื่องกรอง7ขต. FOUNTAIN7S STIEBEL,DOA: เครื่องใช้ไฟฟ้าเล็ก,DOA290103: คกน.PVC4ขต.ขึ้นไป,C07040101,new cat.
